order_reference,order_status,payment_method,castig_net_lei,ride_distance_km,ride_duration_min,viteza_medie_kmh,to_client_dist_km,to_client_dur_min,order_created_date,order_created_time,pickup_address,destination_address
MzI1LTI1MDgyNzk3ODctMzI4MDg4NzU4OA,finished,in_app,14.4,4.3,11.1,23.4,1.0,3.7,2026-05-15,21:01:33,"Strada Dristorului 102, Bucureşti 031541","Hanul lui Manuc, Centrul Vechi"
MzI1LTI1MDgyNjIxNjEtMzI4MDg1NjkwOQ,finished,in_app,14.9,3.1,8.8,21.5,1.1,1.8,2026-05-15,20:49:41,"Bulevardul Ferdinand I 30, Bucureşti","Strada Eufrosina Popescu 56, Bucureşti"
MzI1LTI1MDgyMjc4OTYtMzI4MDc5NjQ4NA,finished,in_app,28.9,9.1,21.4,25.5,0.3,0.3,2026-05-15,20:27:12,"Strada Șoldanului 5, Bucureşti","Random Space, Strada Popa Petre 21, Bucureşti"
MzI1LTI1MDgwOTczNDAtMzI4MDU1NDc3MA,finished,in_app,65.5,19.8,42.4,28.0,1.1,3.5,2026-05-15,19:06:20,"Șoseaua Ștefan cel Mare 24, Bucureşti 020143","Strada Nucului 35a, Berceni, Romania"
MzI1LTI1MDgwNjU1ODktMzI4MDQ5ODM0Ng,finished,in_app,33.6,7.1,18.0,23.5,0.0,0.2,2026-05-15,18:46:47,"Galaxy Entrance, Afi Palace Cotroceni Mall","Athina Suites Hotel, Strada Mihai Eminescu 92-94, Sector 2, Bucureşti"
MzI1LTI1MDgwNDkyMjQtMzI4MDQ2OTUzNA,finished,in_app,19.3,3.1,6.3,29.3,1.2,3.4,2026-05-15,18:37:18,"Strada Lucăcești 51, Bucureşti 060244","Intrare Galaxy, Afi Palace Cotroceni"
MzI1LTI1MDgwMjg1NTItMzI4MDQzMjcwNA,finished,cash,17.9,2.4,6.0,24.2,2.2,4.6,2026-05-15,18:25:23,"Intrarea Guliver 16, Bucureşti","Strada Nucșoara 4, Bucureşti 060524"
MzI1LTI1MDgwMTMzMDYtMzI4MDQwMjgzOQ,finished,in_app,34.9,3.3,8.1,24.7,0.5,1.6,2026-05-15,18:15:31,"Strada Nicolae Oncescu 23A, Bucureşti 060463","Strada Boziilor 11, Bucureşti"
MzI1LTI1MDY3OTQxMjgtMzI3ODIwNTYwMg,finished,in_app,25.2,7.3,14.2,30.9,2.2,4.3,2026-05-14,22:13:14,"Strada Biserica Enei 18, Bucureşti 010019","Calea Apeductului 11, Bucureşti 060912"
MzI1LTI1MDY3ODUzNzAtMzI3ODE4OTczNA,finished,in_app,14.2,3.7,10.0,22.3,1.7,3.0,2026-05-14,22:05:10,"Șoseaua Ștefan cel Mare 238, Bucureşti 020164","Bulevardul General Gheorghe Magheru 32-36, Sector 1, Bucureşti"
MzI1LTI1MDY3NjkwNjktMzI3ODE2MTY3Nw,finished,business,14.2,4.2,10.4,24.2,0.9,3.5,2026-05-14,21:50:09,"Bulevardul Burebista 2, Bucureşti 031108","Strada Precupeții Vechi 28, Bucureşti 020685"
MzI1LTI1MDY3NDM5MDAtMzI3ODExOTcwMw,finished,in_app,18.7,5.1,15.1,20.3,0.8,2.9,2026-05-14,21:25:27,"Strada General Henri Mathias Berthelot 50, Bucureşti","Rainbow, Bulevardul Decebal 14, Centrul Civic, Bucureşti"
MzI1LTI1MDY3MzU0NzctMzI3ODEwNjE4NA,finished,in_app,12.8,3.6,9.8,22.2,0.8,2.4,2026-05-14,21:17:26,"Bulevardul Dimitrie Cantemir 27, Bucureşti 040238","Strada Doctor Vasile Sion 1-9, Bucureşti"
MzI1LTI1MDY3MzA1MzEtMzI3ODA5ODU0OA,finished,in_app,12.8,1.6,6.1,15.9,0.2,0.6,2026-05-14,21:12:49,"Strada Brândușelor 56, Bucureşti","Str. Avalansei 7, Bucureşti 040302"
MzI1LTI1MDY3MjA1NTYtMzI3ODA4MjE4Mg,finished,in_app,12.8,0.9,3.0,17.8,1.3,2.8,2026-05-14,21:03:44,"Strada Moților 15, Bucureşti","Banian Concept, Strada Brânduşelor, Bucharest, Romania"
MzI1LTI1MDY3MDA2MjAtMzI3ODA0OTI3Ng,finished,in_app,17.1,4.8,13.9,20.8,0.9,2.7,2026-05-14,20:45:08,"Strada Toamnei 41, Bucureşti 020703","Strada Logofătul Tăutu 2, Nerva Traian, Bucureşti"
MzI1LTI1MDY2ODUxNjItMzI3ODAyMzAyMg,finished,in_app,13.4,3.6,12.1,18.1,0.5,1.4,2026-05-14,20:30:26,"Strada Didițel 13, Bucureşti 040337","Boogie Bar, Strada Popa Petre 36, Bucureşti"
MzI1LTI1MDY2NzA1NjItMzI3Nzk5ODgwMA,finished,in_app,12.8,3.9,11.0,21.1,1.1,3.2,2026-05-14,20:16:59,"Șoseaua Giurgiului 119, Bucureşti 040661","Aleea Borcea 8, Bucharest 040421"
MzI1LTI1MDY2NTk4OTMtMzI3Nzk4MTI2Mw,finished,in_app,12.8,0.7,3.1,12.7,0.5,3.3,2026-05-14,20:07:55,"Drumul Găzarului 1, Bucureşti 040821","Strada Almașul Mic 8, Giurgiului, Bucureşti"
MzI1LTI1MDY2MjUyNDUtMzI3NzkyNDI2OA,finished,cash,31.3,10.3,23.8,25.9,0.2,3.2,2026-05-14,19:38:42,"Strada General Barbu Vladoianu 6, Bucureşti","Strada Râul Șoimului 1, Bucureşti"
MzI1LTI1MDY2MDcxNDQtMzI3Nzg5NTEwOQ,finished,in_app,12.8,2.4,6.9,20.9,1.2,6.9,2026-05-14,19:24:27,"Strada Sfinții Voievozi 52-54, Bucureşti 010967","Bulevardul Banu Manta 27, Bucureşti"
MzI1LTI1MDY1OTA4MDktMzI3Nzg2NzY3Nw,finished,in_app,13.9,3.7,10.6,21.1,0.0,0.2,2026-05-14,19:11:44,"Calea Moșilor 213, Bucureşti 020864","Trattoria Buongiorno, Bulevardul Lascăr Catargiu 56, Dorobanți, Bucureşti"
MzI1LTI1MDY1NzAyMDQtMzI3NzgzMTgwNg,finished,in_app,16.4,5.1,17.0,18.0,0.1,0.6,2026-05-14,18:56:00,"Bulevardul Mihail Kogălniceanu 3, Bucureşti 050101","Calea Moșilor 213, Sectorul 2, Bucureşti"
MzI1LTI1MDY1MzI1ODMtMzI3Nzc2Nzk1NQ,finished,in_app,37.4,7.7,16.7,27.8,4.4,14.0,2026-05-14,18:27:58,"Calea Giulești 457, Bucureşti","Bruma Coffee & Wine, Bulevardul Regina Elisabeta, Bucharest, Romania"
MzI1LTI1MDU5ODQ1OTMtMzI3Njg2NTYxMw,finished,in_app,14.9,3.3,11.9,16.6,0.7,1.5,2026-05-14,11:41:24,"Strada Ostașilor 8, Bucureşti","Splaiul Independentei 290, Bucureşti 060029"
MzI1LTI1MDU0NDcxOTctMzI3NTkzOTg1NA,finished,in_app,59.9,10.5,29.2,21.5,5.5,11.2,2026-05-13,23:57:49,"Calea Călărașilor 323, Bucureşti 030622","Gran Via Park, Bulevardul Timișoara 42, Bucureşti"
MzI1LTI1MDU0Mjk4MjgtMzI3NTkxNTA2Nw,finished,in_app,31.9,5.8,12.8,27.3,2.5,5.3,2026-05-13,23:44:55,"Strada Baba Novac 25, Bucureşti","Aleea Lipanesti 4, Bucureşti 032507"
MzI1LTI1MDU0MDIyMDgtMzI3NTg2MjU4Mg,finished,business,37.2,8.7,21.9,23.9,1.5,4.5,2026-05-13,23:19:18,Calea Floreasca 131-137,Bulevardul Camil Ressu 49
MzI1LTI1MDUzODAzNjQtMzI3NTgxNTE1NA,finished,cash,13.7,5.8,12.6,27.8,0.4,1.4,2026-05-13,22:57:39,"Sos. Salaj 136, Bucureşti","Sergent Constantin Ghercu Street, La Mia Musica"
MzI1LTI1MDUzNjQ3ODEtMzI3NTc4NjMwOQ,finished,cash,20.2,6.1,15.1,24.3,1.7,3.3,2026-05-13,22:40:36,"Bulevardul Schitu Măgureanu 35, Bucureşti 010184","Strada Spătarul Preda 21, Bucureşti 050187"
MzI1LTI1MDUzNDk5MjgtMzI3NTc1OTk0Nw,finished,cash,14.2,2.6,7.5,20.5,4.0,5.9,2026-05-13,22:24:36,"Strada Hatmanul Arbore 1, Bucureşti 011601","Piața Roma / Strada Lipscani, Centrul Vechi"
MzI1LTI1MDUzMjI4ODMtMzI3NTcxMTU1Mw,finished,in_app,18.1,7.7,19.3,23.9,0.5,1.9,2026-05-13,21:58:07,"Strada Avrig 63, Bucureşti 021574","Bulevardul Pipera 1, Voluntari 077190"
MzI1LTI1MDUyNjAzMzMtMzI3NTYwODEzOA,finished,cash,14.2,3.9,9.6,24.1,0.7,1.8,2026-05-13,20:53:57,"Strada Fabrica de Chibrituri 48, Bucureşti","Aleea Ghimeș 8, Rahova, Bucureşti"
MzI1LTI1MDUyNDQ0ODQtMzI3NTU4MjY4MA,finished,in_app,16.4,5.0,12.6,23.5,0.3,0.9,2026-05-13,20:38:14,"Bulevardul Camil Ressu 23C, Bucureşti","Club Expirat, Strada Doctor Constantin Istrati 1, Bucureşti"
MzI1LTI1MDUyMjg0NDEtMzI3NTU1NzExOQ,finished,cash,12.8,3.6,7.8,27.8,1.0,2.2,2026-05-13,20:22:38,"Strada Ghiță Șerban Soldat 10, Bucureşti","Piața Râmnicu Sărat, Dristor, Bucureşti"
MzI1LTI1MDUyMDM5NzEtMzI3NTUxNjM2NQ,finished,cash,29.0,7.4,11.6,38.2,4.0,6.3,2026-05-13,20:00:52,"Strada Abatorului 12, Glina, România","Intrare Strada Jean Steriadi , Auchan Titan"
MzI1LTI1MDUxODk3NzMtMzI3NTQ5MzY3Nw,finished,in_app,12.8,2.6,5.8,26.8,1.6,2.7,2026-05-13,19:48:48,"Bulevardul Theodor Pallady 53, București","Splaiul Unirii 9, 077160"
MzI1LTI1MDUxNjAzMzUtMzI3NTQ0NjU0Mg,finished,in_app,21.4,4.8,15.8,18.3,0.8,3.1,2026-05-13,19:24:29,"Strada Zizin 10, Bucureşti","Strada Mizil 3, Titan - Balta Albă, Bucureşti"
MzI1LTI1MDUxMjg4NjYtMzI3NTM5MzgxNQ,finished,in_app,21.4,4.8,23.8,12.1,0.3,1.6,2026-05-13,19:00:15,"Strada George Enescu 42, Bucureşti 010308","Calea Vitan Entrance, Bucharest Mall"
MzI1LTI1MDUxMTI3NTUtMzI3NTM2Njg0NA,finished,in_app,39.5,5.2,13.7,22.9,0.5,1.2,2026-05-13,18:47:47,"Strada Chibzuinței 4, Bucureşti","Facultatea de Cibernetică, Calea Dorobanților 15-17, Bucureşti"
MzI1LTI1MDQwNjgzMDktMzI3MzY0MjgzMA,finished,business,15.0,4.2,11.2,22.6,1.2,1.3,2026-05-13,00:25:19,"Afi Palace Cotroceni, Intrare Galaxy","Calea Crângași 8-10, București, România"
MzI1LTI1MDQwNTQ5OTEtMzI3MzYxNDkyNQ,finished,business,21.8,6.6,10.3,38.5,1.5,5.0,2026-05-13,00:05:05,"Strada Polonă 70, Bucureşti 010505","Bloc R2, Bulevardul Iuliu Maniu, Bucharest, Romania"
MzI1LTI1MDQwNDk2NjctMzI3MzYwNDQzNg,finished,business,20.3,3.7,7.7,28.8,1.0,4.4,2026-05-12,23:57:27,"Strada Ion Câmpineanu 20, Bucureşti 010038","Strada Viesparilor 9, Sectorul 2, Bucureşti"
MzI1LTI1MDQwMjUxNzctMzI3MzU1NTkzNQ,finished,in_app,12.8,4.5,9.0,30.2,0.8,2.5,2026-05-12,23:23:00,"Aleea Livezilor 35, Bucureşti 052433","Strada Turnu Măgurele 14, Bucureşti 041713"
MzI1LTI1MDQwMDQ1NTgtMzI3MzUxNTU4Mw,finished,cash,25.5,7.1,13.9,30.4,1.9,4.5,2026-05-12,22:58:59,"Strada Doctor Leonte Anastasievici 2, București 061344","Strada Pontonierilor 32, București, România"
MzI1LTI1MDM5OTg0MTYtMzI3MzUwMzE5Ng,finished,in_app,40.6,2.9,7.8,22.6,0.5,1.8,2026-05-12,22:51:37,Strada Gramont 38,"Strada Doctor Nicolae Tomescu 4, Bucureşti"
MzI1LTI1MDM5ODQwMjgtMzI3MzQ3NTQ5Mw,finished,in_app,19.6,7.6,14.2,32.1,1.0,2.2,2026-05-12,22:34:47,"Șoseaua Pantelimon 242, Bucureşti 021313","Intr. Cpt. Gheorghe Preotescu 17, Bucureşti 040176"
MzI1LTI1MDM5Njc0MTYtMzI3MzQ0NTM1MA,finished,in_app,29.3,7.5,11.2,40.0,2.3,3.0,2026-05-12,22:16:49,"Șoseaua Libertății 4B, Titanul Nou","Șoseaua Pantelimon 359, Bucureşti"
MzI1LTI1MDM5NTYyNDItMzI3MzQyMjgyOQ,finished,cash,12.8,2.7,9.7,16.4,0.6,2.0,2026-05-12,22:04:10,"Bulevardul 1 Decembrie 1918 33A, Bucureşti 032467","Drumul Gura Caliței 4-32, Titanul Nou, Bucureşti"
MzI1LTI1MDM5MzgzOTMtMzI3MzM5MTYzOQ,finished,in_app,21.4,7.3,14.7,29.7,1.0,1.0,2026-05-12,21:45:09,"Strada Viitorului 176, Bucureşti 020618","Strada Rășinari 1, Titan - Balta Albă, Bucureşti"
MzI1LTI1MDM5MjY1MzItMzI3MzM3MDIxMQ,finished,in_app,17.3,1.9,5.2,21.8,1.6,5.5,2026-05-12,21:31:53,"El Torito, Strada Iancu Căpitanu 26, Sector 2, Bucureşti","Strada Badea Cârțan 66, Bucharest, Romania"
MzI1LTI1MDM5MTI1NjEtMzI3MzM1NDM4Ng,finished,cash,14.0,3.7,8.5,26.0,1.5,4.6,2026-05-12,21:21:46,"Piața Unirii 1, Bucureşti 030119","dm Entrance , Bucur obor"
MzI1LTI1MDM5MDgzMDktMzI3MzMzOTE3Mg,finished,in_app,16.6,2.1,6.8,18.9,1.0,3.0,2026-05-12,21:12:19,"Strada Scaune 1, Bucureşti","Strada Spineni 4, Bucureşti 040267"
MzI1LTI1MDM4OTg2NTAtMzI3MzMyNDk3MA,finished,cash,12.8,2.9,7.8,22.1,0.7,1.3,2026-05-12,21:03:32,"Bulevardul Decebal 5, Bucureşti 030962","Bulevardul Nicolae Bălcescu 27-33, بوخارست 010045"
MzI1LTI1MDM4ODU1OTItMzI3MzMwMjg3Mg,finished,cash,14.0,3.2,8.9,21.8,1.6,4.2,2026-05-12,20:48:56,"Bulevardul Carol I 8, Bucureşti 020921","Strada Meșterul Manole 6, Bucureşti 031124"
MzI1LTI1MDM4NTU0MjEtMzI3MzI1MzM5NA,finished,in_app,20.6,5.1,14.7,21.0,1.7,6.0,2026-05-12,20:17:17,"Strada Maior Ion Coravu 43, Bucureşti","Strada Spineni 2, Bucureşti 040267"
MzI1LTI1MDM4MzY2NzAtMzI3MzIyMjMwOA,finished,in_app,14.0,3.5,11.4,18.6,1.8,2.7,2026-05-12,20:00:14,"Strada Maica Domnului 2, Bucureşti","Strada Constantin Georgian 27, Bucureşti 021761"
MzI1LTI1MDM3ODY0MDEtMzI3MzEzOTU2NA,finished,in_app,14.9,4.8,16.3,17.6,0.8,3.3,2026-05-12,19:15:30,"Bulevardul Dimitrie Cantemir 9, Bucureşti 040014","Sos. Mihai Bravu 37A, Bucureşti 021305"
MzI1LTI1MDM3NjQxNjctMzI3MzEwMTAxNQ,finished,in_app,17.3,3.8,14.7,15.4,1.3,4.3,2026-05-12,18:57:09,"Strada Mihail Sebastian 88, Bucureşti 050784","The Harp, Bulevardul Dimitrie Cantemir 2, Centrul Civic, Bucureşti"
MzI1LTI1MDM3NDg2OTktMzI3MzA3NDM0Ng,finished,in_app,14.0,1.2,4.1,18.0,0.8,1.7,2026-05-12,18:44:09,"Strada Biserica Alexe 28, Bucureşti 040269","Aleea Suter 4, Sectorul 4, Bucureşti"
MzI1LTI1MDM3MjE0NDItMzI3MzAyNjcxMA,finished,in_app,50.5,5.8,18.4,19.0,0.1,0.9,2026-05-12,18:22:48,"Strada Miorița 2, Bucureşti 060761",Bulevardul Mărășești 4-6
MzI1LTI1MDM2OTk0NzQtMzI3Mjk4OTQxNQ,finished,in_app,15.8,3.3,7.0,28.4,1.7,11.6,2026-05-12,18:06:37,"Strada Sergent Ștefan Crișan 31, Bucureşti 060312","Strada Economu Cezărescu 30, Bucureşti 060754"
MzI1LTI1MDM2OTE2OTItMzI3Mjk3NDkyOQ,finished,cash,16.6,0.6,3.2,10.5,1.0,3.7,2026-05-12,18:00:15,"Strada Măgura Odobești 19, Bucureşti 014565","Str. Nicolae Oncescu 6, Bucureşti"
MzI1LTI1MDI2ODU0MjItMzI3MTIwMTU0OA,finished,in_app,14.9,3.6,7.4,28.8,2.7,4.5,2026-05-12,00:06:52,"Strada Sergent Constantin Apostol 4, Bucureşti 061344","Strada Locotenent Saidac Gheorghe 9, Bucureşti 060532"
MzI1LTI1MDI2NjEyMDItMzI3MTE0OTI3NA,finished,business,36.6,12.0,20.9,34.3,4.3,5.0,2026-05-11,23:29:39,"Parcul Regele Mihai I, Sectorul 1, București",Strada Weiner Palada 60D
MzI1LTI1MDI2MzAyOTQtMzI3MTA4NDMzNA,finished,in_app,28.4,8.9,23.6,22.5,1.6,5.0,2026-05-11,22:51:53,"Hotel Tranzzit, Strada Lipova, Bucharest, Romania","Intrarea Aurel Giurumia 2, Bucureşti"
MzI1LTI1MDI2MjQyMTAtMzI3MTA3MTQzNQ,finished,cash,16.6,3.3,7.1,28.0,1.9,4.2,2026-05-11,22:44:02,"Radisson Blu, Radisson Blu Hotel Bucharest","Orhideea Residence & Spa, Calea Plevnei 145B, Grozăvești, Bucureşti"
MzI1LTI1MDI1ODgzOTAtMzI3MTAwMDIwNA,finished,cash,26.4,9.2,19.7,28.0,1.9,4.9,2026-05-11,22:04:16,"Strada George Călinescu 4A, Bucureşti 011693","Strada Maior Porumbaru Ion 62a, București, România"
MzI1LTI1MDI1NzM2OTYtMzI3MDk3MTUyMQ,finished,cash,13.7,6.1,9.6,38.0,1.0,1.8,2026-05-11,21:48:24,"Pod Eroilor, Sectorul 5, București","Strada Dinu Vintilă 6, București 021102"
MzI1LTI1MDI1Mzk0MjctMzI3MDkwODIyMA,finished,in_app,16.9,5.9,24.1,14.7,0.1,0.6,2026-05-11,21:09:29,"Intrare Principala, Liberty Center Mall","Strada Lacul Mare 12-14, Rahova, Bucureşti"
MzI1LTI1MDI1MTg4NjAtMzI3MDg3MjQzNQ,finished,cash,12.8,3.3,11.7,16.7,0.6,1.8,2026-05-11,20:46:57,"Strada Sergent Ion Nuțu 8-12, Bucureşti 050781","Strada Locotenent Ilie N. Câmpeanu 2, Bucureşti 051965"
MzI1LTI1MDI0NTk4OTAtMzI3MDc2NDIyMw,finished,in_app,22.6,7.5,14.6,31.0,0.7,1.9,2026-05-11,19:45:51,"Strada Locotenent Aviator Gheorghe Stâlpeanu 8, Bucureşti","Bd. Timișoara 69, București, România"
MzI1LTI1MDI0NDAxNjktMzI3MDcyNjU3MA,finished,cash,20.3,4.6,10.6,26.2,1.6,4.8,2026-05-11,19:26:54,"Intrare Dinicu Golescu, Gara de Nord","Hotel Samaa, Bulevardul Ion Mihalache, București, România"
MzI1LTI1MDI0MTgxMjUtMzI3MDY4Mjk2Mg,finished,in_app,20.2,6.4,16.9,22.6,1.5,3.7,2026-05-11,19:07:44,"Șoseaua Mihai Bravu 139-145, Bucureşti 021315","Calea Griviței 160, Bucureşti 010745"
MzI1LTI1MDIzODYxNDAtMzI3MDYyNTQ5NQ,finished,in_app,26.2,7.1,25.4,16.8,0.4,0.8,2026-05-11,18:40:21,"Splaiul Independenței 181, București","Intrarea principala, Spitalul Victor Babeș"
MzI1LTI1MDIzNzMwNDctMzI3MDYwMTA0OA,finished,in_app,13.6,3.6,8.9,23.9,0.5,1.9,2026-05-11,18:29:41,"Strada Vintilă Mihăilescu 16, Bucureşti 060398","Universitatea Națională de Educație Fizică și Sport, Strada Constantin Noica 140, Sectorul 6, Bucureşti"
MzI1LTI1MDEzMjc2NTEtMzI2ODY3NTQ4Nw,finished,in_app,12.8,3.1,6.2,30.2,2.4,4.2,2026-05-10,23:15:02,"Strada Sirenelor 90, Bucureşti 050855","Strada Bârnova 1, Bucureşti 051161"
MzI1LTI1MDEzMjAyNzEtMzI2ODY1OTY3NA,finished,in_app,12.8,2.4,6.7,21.6,1.0,0.7,2026-05-10,23:06:45,"Bulevardul Iuliu Maniu 6E, Bucureşti 061103","Strada Doctor Thoma Ionescu 6, Cotroceni, Bucureşti"
MzI1LTI1MDEyOTM3ODQtMzI2ODYwNjAxNw,finished,in_app,22.4,7.8,17.6,26.4,1.4,3.4,2026-05-10,22:39:01,"Hanul lui Manuc, Centrul Vechi","Bulevardul Iuliu Maniu 73, Bucureşti 061089"
MzI1LTI1MDEyODM5MzQtMzI2ODU4NzAzMA,finished,in_app,12.8,3.1,6.8,27.3,1.0,2.4,2026-05-10,22:29:26,"Calea Dudești 188, Bucureşti","Str. Olimpului 30, Bucureşti"
MzI1LTI1MDEyNzM5ODctMzI2ODU2NjkxNQ,finished,business,12.8,2.4,7.0,20.3,1.3,2.5,2026-05-10,22:19:17,Strada Vlad Județul 2,"Drumul Murgului 36, Dristor, Bucureşti"
MzI1LTI1MDEyMjg4NzQtMzI2ODQ3NzM1Mg,finished,cash,57.1,16.7,40.0,25.0,0.7,1.4,2026-05-10,21:37:21,"Strada Theodor D. Speranția 108, Bucureşti","amoom unirii, Bulevardul Unirii 72, Centrul Civic, Bucureşti"
MzI1LTI1MDEyMTA1MjQtMzI2ODQ0Mzc3Mg,finished,cash,12.8,3.4,7.1,29.2,2.2,4.1,2026-05-10,21:20:12,"Strada Magnetului 25, Bucureşti 033066","McDonald's, Bulevardul Basarabia 99, Pantelimon, Bucureşti"
MzI1LTI1MDExODk1OTItMzI2ODQxMjE1MA,finished,cash,17.2,5.4,10.8,29.7,0.8,3.9,2026-05-10,21:04:17,"Intrare Flanco, Auchan Titan","Strada Elbrus 11, Bucureşti"
MzI1LTI1MDExNzM5MzItMzI2ODM4MDQzOA,finished,cash,20.6,5.3,16.1,19.9,1.4,1.5,2026-05-10,20:46:46,"Strada Liviu Rebreanu 29, București","Bulevardul 1 Decembrie 1918 25, Bucureşti 032454"
MzI1LTI1MDExNjYzMzctMzI2ODM2NDc4Mg,finished,in_app,12.8,2.1,6.5,19.2,0.8,1.9,2026-05-10,20:37:54,"Strada Ion Țuculescu 31, Bucureşti","Bulevardul Nicolae Grigorescu 31A, Bucureşti 030438"
MzI1LTI1MDExNDI5MzktMzI2ODMyMzMwMQ,finished,in_app,26.9,9.1,20.2,26.9,2.1,3.0,2026-05-10,20:14:30,"Strada Turnu Măgurele 116-122, Bucureşti 041712","Strada Gheorghe Petrașcu 14, Bucharest"
MzI1LTI1MDEwOTY3NjAtMzI2ODI0MDYyMw,finished,in_app,29.1,9.7,22.6,25.8,0.2,0.9,2026-05-10,19:29:45,"Bulevardul Iuliu Maniu 11, Bucureşti 061072","Strada Odei 166, Bucureşti"
MzI1LTI1MDEwODU0MzYtMzI2ODIxOTIxNA,finished,in_app,14.9,3.8,9.4,24.1,0.8,3.0,2026-05-10,19:18:42,"Strada Iacob Negruzzi 11, Bucureşti 011093","Bulevardul Iuliu Maniu 6E, Militari, Bucureşti"
MzI1LTI1MDEwNDc5ODEtMzI2ODE0OTA4Nw,finished,cash,26.6,6.1,13.8,26.5,0.0,1.1,2026-05-10,18:44:05,"Intrare Far, Afi Palace Cotroceni","Piața Roma / Strada Lipscani, Centrul Vechi"
MzI1LTI1MDEwMjIxNjItMzI2ODEwMjA4Ng,finished,cash,21.1,5.9,18.0,19.7,0.5,2.1,2026-05-10,18:20:35,"Strada Locotenent Aviator Marcel Andreescu 11, Bucureşti","Far Entrance, Afi Palace Cotroceni Mall"
MzI1LTI1MDEwMDk5NTktMzI2ODA4MTk3Ng,finished,in_app,21.8,5.6,11.0,30.7,0.6,3.1,2026-05-10,18:10:04,"Calea Crângași 29, Bucureşti 060312","POT.stories, Calea Floreasca 111-113, Floreasca, Bucureşti"
MzI1LTI0OTk3MDc1MzktMzI2NTY4MjgwMw,finished,in_app,19.9,4.5,12.6,21.3,1.4,1.9,2026-05-09,22:14:57,"Șoseaua Pantelimon 33-35, Bucureşti","Magazinul Victoria, Calea Victoriei 17, Sectorul 3, Bucureşti"
MzI1LTI0OTk2ODU4NTctMzI2NTYzODY2Nw,finished,in_app,16.4,4.4,12.7,21.0,0.2,1.9,2026-05-09,22:00:44,"Strada Vlaicu Vodă 23, Bucureşti","Forge, Șoseaua Pantelimon 1A, Obor, Bucureşti"
MzI1LTI0OTk2NjA1MzMtMzI2NTU5MTQwNg,finished,in_app,14.8,3.5,10.0,20.8,0.5,1.1,2026-05-09,21:43:18,"Strada Ion Țuculescu 19A, Bucureşti","Strada Chiciurei 31-35-37, Vitan, Bucureşti"
MzI1LTI0OTk2NTUxNTQtMzI2NTU4MDM3NQ,finished,cash,12.8,1.0,1.8,32.9,0.0,0.2,2026-05-09,21:39:22,"Bulevardul Basarabia 85, Bucureşti 022111","Bulevardul Nicolae Grigorescu 19, Bucureşti 030434"
MzI1LTI0OTk2MTA3MTgtMzI2NTQ5MDE2MQ,finished,cash,20.6,7.6,18.1,25.0,0.2,0.1,2026-05-09,21:08:22,"Drumul Dobroești-Fundeni 13, Dobroești, România","Strada Califarului 10, Pantelimon 077145"
MzI1LTI0OTk1NzIzMzktMzI2NTQxMjE4Mg,finished,cash,22.1,8.8,18.2,28.8,0.5,3.5,2026-05-09,20:43:09,"Bulevardul Carol I 57, Bucureşti 020915","Strada Balanţei 2, Dobroești, România"
MzI1LTI0OTk1NDIzNjQtMzI2NTM0OTcyNA,finished,in_app,12.8,2.0,6.0,19.8,0.4,0.5,2026-05-09,20:23:38,"Str. Paul Greceanu 30, Sector 2, Bucureşti","Piața Victoriei, Sector 1, Bucureşti"
MzI1LTI0OTk0OTk0NzctMzI2NTI1OTA4Mw,finished,cash,12.8,3.4,7.1,28.9,1.1,3.3,2026-05-09,19:56:08,"Intrarea Zamfirescu Leonida Eliza 15, Bucureşti","Restaurant Marcon Calise, Strada Constantin Noica 140A, Sectorul 6, Bucureşti"
MzI1LTI0OTk0NjQ4ODgtMzI2NTE4ODIzMQ,finished,in_app,15.7,5.0,15.2,19.9,1.6,2.7,2026-05-09,19:35:06,"Calea Floreasca 169A, Bucureşti","Strada General Barbu Vladoianu 4, Grivița, Bucureşti"
MzI1LTI0OTk0NTcyNDktMzI2NTE3MzQ4NA,finished,in_app,12.8,1.7,5.5,18.8,0.3,0.7,2026-05-09,19:30:38,"Strada Grigore C. Moisil 5, Bucureşti","Scenario, Floreasca One Tower"
MzI1LTI0OTk0MTk0ODEtMzI2NTA5MzYzOQ,finished,in_app,18.7,6.0,21.0,17.1,0.1,0.2,2026-05-09,19:06:18,"The Marmorosch Entrance, The Marmorosch Bucharest, Autograph Collection","Strada Tuzla 50A, Bucureşti"
MzI1LTI0OTkzNzQ2NzYtMzI2NTAwNDc5Ng,finished,in_app,28.9,7.9,22.6,21.1,0.5,1.0,2026-05-09,18:37:32,"Aleea Onisifor Ghibu 3, Bucureşti 032445","Academiei Street, Old Town"
MzI1LTI0OTkzNDM4OTQtMzI2NDk0ODI4Mw,finished,in_app,22.4,7.4,17.6,25.2,0.9,2.8,2026-05-09,18:16:36,"Strada Popa Petre 43, Bucureşti 020803","Strada Soldat Tudor Ion 15, Bucureşti"
MzI1LTI0OTkyODc4NDQtMzI2NDg0NzgxOA,finished,in_app,29.9,9.5,18.0,31.5,0.5,0.5,2026-05-09,17:38:00,"Strada Vintilă Mihăilescu 4, Bucureşti","Calea Șerban Vodă 270, Sectorul 4, Bucureşti"
MzI1LTI0OTkwMDMzNDMtMzI2NDM1NDQ4Mg,finished,in_app,19.2,3.4,16.0,12.6,1.0,3.6,2026-05-09,14:03:20,"Calea Dorobanților 135-145, Bucureşti","Strada Costache Marinescu 39, Grivița, Bucureşti"
